rnd,Pick,Tm,Pos,To,CarAV,DrAV
5,176,MIN,WR,2020,0,0
5,177,KAN,DE,2020,2,2
5,178,DEN,LB,,,
5,179,DAL,DE,2020,0,0
6,180,CIN,T,2020,3,3
6,181,DEN,G,2020,1,1
6,182,NWE,G,2020,6,6
6,183,NYG,LB,2020,1,1
6,184,CAR,DT,2020,5,5
6,185,MIA,LS,2020,1,1
6,186,LAC,S,2020,1,1
6,187,CLE,WR,2020,3,3
6,188,BUF,K,2020,3,3
6,189,JAX,QB,2020,1,1
6,190,SFO,TE,2020,0,0
6,191,NYJ,P,2020,2,2
6,192,GNB,T,2020,1,1
6,193,IND,DT,2020,0,0
6,194,TAM,DT,2020,0,0
6,195,NWE,T,2020,3,3
6,196,PHI,LB,2020,1,1
6,197,DET,DT,2020,4,4
6,198,PIT,S,2020,0,0
6,199,LAR,S,2020,6,6
6,200,PHI,WR,2020,1,1
6,201,BAL,WR,2020,0,0
6,202,ARI,LB,,,
6,203,MIN,T,,,
6,204,NWE,LB,2020,1,1
6,205,MIN,S,2020,1,1
6,206,JAX,TE,2020,0,0
6,207,BUF,WR,,,
6,208,GNB,C,,,
6,209,GNB,T,,,
6,210,PHI,T,2020,0,0
6,211,IND,CB,2020,2,2
6,212,IND,WR,2020,0,0
6,213,IND,LB,2020,1,1
6,214,SEA,WR,2020,2,2
7,215,CIN,LB,2020,1,1
7,216,WAS,S,2020,7,7
7,217,SFO,WR,,,
7,218,NYG,LB,2020,2,2
7,219,BAL,S,2020,0,0
7,220,LAC,WR,2020,1,1
7,221,CAR,CB,2020,1,1
7,222,ARI,RB,,,
7,223,JAX,CB,2020,2,2
7,224,TEN,QB,,,
7,225,MIN,DE,,,
7,226,CHI,T,2020,1,1
7,227,CHI,G,,,
7,228,ATL,P,2020,1,1
7,229,WAS,DE,2020,2,2
7,230,NWE,C,,,
7,231,DAL,QB,2020,1,1
7,232,PIT,DT,2020,1,1
7,233,PHI,DE,2020,1,0
7,234,LAR,LB,2020,0,
7,235,DET,DT,,,
7,236,GNB,S,2020,1,1
7,237,KAN,CB,2020,1,1
7,238,NYG,LB,2020,0,0
7,239,BUF,CB,2020,1,1
7,240,NOR,QB,2020,0,
7,241,TAM,LB,2020,1,1
7,242,GNB,DE,2020,1,1
7,243,TEN,S,2020,1,1
7,244,MIN,QB,,,
7,245,TAM,RB,2020,0,
7,246,MIA,RB,2020,1,1
7,247,NYG,CB,,,
7,248,LAR,K,2020,0,0
7,249,MIN,S,,,
7,250,LAR,G,2020,1,1
7,251,SEA,TE,2020,0,0
7,252,DEN,WR,2020,0,0
7,253,MIN,G,,,
7,254,DEN,LB,2020,1,1
7,255,NYG,LB,2020,4,4
